State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Tamil Nadu,ARIYALUR,1998,Rabi,Bajra,15269,51622
Tamil Nadu,ARIYALUR,1998,Rabi,Jowar,10896,9929
Tamil Nadu,ARIYALUR,1998,Rabi,Moong(Green Gram),20239,8514
Tamil Nadu,ARIYALUR,1998,Rabi,Urad,824,452
Tamil Nadu,ARIYALUR,1998,Rabi,Cotton(lint),22133,14972
Tamil Nadu,ARIYALUR,1998,Rabi,Ragi,6551,19377
Tamil Nadu,ARIYALUR,1998,Whole Year,Sugarcane,26015,2420574
Tamil Nadu,ARIYALUR,1998,Whole Year,Banana,4310,126028
Tamil Nadu,ARIYALUR,1998,Whole Year,Tapioca,18235,44340
Tamil Nadu,ARIYALUR,1998,Whole Year,Coconut,9924,21024
Tamil Nadu,ARIYALUR,1998,Whole Year,Cashewnut,5682,3564
Tamil Nadu,ARIYALUR,1998,Whole Year,Turmeric,19845,65071
Tamil Nadu,ARIYALUR,1998,Whole Year,Onion,524,1886
Tamil Nadu,ARIYALUR,1998,Whole Year,Dry chillies,16962,50938
Tamil Nadu,ARIYALUR,1998,Whole Year,Coriander,14410,22139
Tamil Nadu,ARIYALUR,1998,Whole Year,Castor seed,17938,43186
Tamil Nadu,ARIYALUR,1998,Summer,Rice,84437,404845
Tamil Nadu,ARIYALUR,1998,Summer,Groundnut,58402,144943
Tamil Nadu,ARIYALUR,1998,Summer,Sesamum,7541,11624
Tamil Nadu,ARIYALUR,1998,Summer,Sunflower,16346,53114
Tamil Nadu,ARIYALUR,1998,Summer,Black gram,15928,41921
Tamil Nadu,ARIYALUR,1999,Kharif,Rice,129180,388994
Tamil Nadu,ARIYALUR,1999,Kharif,Maize,29137,63524
Tamil Nadu,ARIYALUR,1999,Kharif,Groundnut,16919,32938
Tamil Nadu,ARIYALUR,1999,Kharif,Jowar,13738,22693
Tamil Nadu,ARIYALUR,1999,Kharif,Bajra,15029,16896
Tamil Nadu,ARIYALUR,1999,Kharif,Ragi,1221,2686
Tamil Nadu,ARIYALUR,1999,Kharif,Moong(Green Gram),27534,31358
Tamil Nadu,ARIYALUR,1999,Kharif,Urad,29399,16601
Tamil Nadu,ARIYALUR,1999,Kharif,Cotton(lint),2213,4019
Tamil Nadu,ARIYALUR,1999,Kharif,Sunflower,7010,7343
Tamil Nadu,ARIYALUR,1999,Rabi,Rice,89296,353719
Tamil Nadu,ARIYALUR,1999,Rabi,Gram,36420,36873
Tamil Nadu,ARIYALUR,1999,Rabi,Groundnut,26480,44452
Tamil Nadu,ARIYALUR,1999,Rabi,Maize,1686,3862
Tamil Nadu,ARIYALUR,1999,Rabi,Bajra,15951,38732
Tamil Nadu,ARIYALUR,1999,Rabi,Jowar,8429,16411
Tamil Nadu,ARIYALUR,1999,Rabi,Moong(Green Gram),15941,12936
Tamil Nadu,ARIYALUR,1999,Rabi,Urad,14452,13945
Tamil Nadu,ARIYALUR,1999,Rabi,Cotton(lint),18304,11824
Tamil Nadu,ARIYALUR,1999,Rabi,Ragi,838,1955
Tamil Nadu,ARIYALUR,1999,Whole Year,Sugarcane,18280,1825271
Tamil Nadu,ARIYALUR,1999,Whole Year,Banana,13438,475367
Tamil Nadu,ARIYALUR,1999,Whole Year,Tapioca,3408,2467
Tamil Nadu,ARIYALUR,1999,Whole Year,Coconut,1740,4328
Tamil Nadu,ARIYALUR,1999,Whole Year,Cashewnut,17378,11094
Tamil Nadu,ARIYALUR,1999,Whole Year,Turmeric,2530,7130
Tamil Nadu,ARIYALUR,1999,Whole Year,Onion,12943,35478
Tamil Nadu,ARIYALUR,1999,Whole Year,Dry chillies,16217,46842
Tamil Nadu,ARIYALUR,1999,Whole Year,Coriander,6792,21037
Tamil Nadu,ARIYALUR,1999,Whole Year,Castor seed,17345,33614
Tamil Nadu,ARIYALUR,1999,Summer,Rice,21107,102889
Tamil Nadu,ARIYALUR,1999,Summer,Groundnut,20982,49838
Tamil Nadu,ARIYALUR,1999,Summer,Sesamum,16078,15155
Tamil Nadu,ARIYALUR,1999,Summer,Sunflower,18542,41527
Tamil Nadu,ARIYALUR,1999,Summer,Black gram,5968,9737
Tamil Nadu,ARIYALUR,2000,Kharif,Rice,105318,454058
Tamil Nadu,ARIYALUR,2000,Kharif,Maize,3985,19207
Tamil Nadu,ARIYALUR,2000,Kharif,Groundnut,21032,30704
Tamil Nadu,ARIYALUR,2000,Kharif,Jowar,10229,9504
Tamil Nadu,ARIYALUR,2000,Kharif,Bajra,1695,4633
Tamil Nadu,ARIYALUR,2000,Kharif,Ragi,1751,5904
Tamil Nadu,ARIYALUR,2000,Kharif,Moong(Green Gram),35058,42647
Tamil Nadu,ARIYALUR,2000,Kharif,Urad,15705,7417
Tamil Nadu,ARIYALUR,2000,Kharif,Cotton(lint),12346,20574
Tamil Nadu,ARIYALUR,2000,Kharif,Sunflower,399,722
Tamil Nadu,ARIYALUR,2000,Rabi,Rice,24853,100897
Tamil Nadu,ARIYALUR,2000,Rabi,Gram,33784,25388
Tamil Nadu,ARIYALUR,2000,Rabi,Groundnut,13586,40741
Tamil Nadu,ARIYALUR,2000,Rabi,Maize,3382,22330
Tamil Nadu,ARIYALUR,2000,Rabi,Bajra,1843,4085
Tamil Nadu,ARIYALUR,2000,Rabi,Jowar,11732,31494
Tamil Nadu,ARIYALUR,2000,Rabi,Moong(Green Gram),19148,20523
Tamil Nadu,ARIYALUR,2000,Rabi,Urad,35197,40087
Tamil Nadu,ARIYALUR,2000,Rabi,Cotton(lint),9467,6096
Tamil Nadu,ARIYALUR,2000,Rabi,Ragi,12620,11430
Tamil Nadu,ARIYALUR,2000,Whole Year,Sugarcane,29511,2952029
Tamil Nadu,ARIYALUR,2000,Whole Year,Banana,9836,295816
Tamil Nadu,ARIYALUR,2000,Whole Year,Tapioca,18428,49025
Tamil Nadu,ARIYALUR,2000,Whole Year,Coconut,15117,42582
Tamil Nadu,ARIYALUR,2000,Whole Year,Cashewnut,8269,22693
Tamil Nadu,ARIYALUR,2000,Whole Year,Turmeric,12826,23359
Tamil Nadu,ARIYALUR,2000,Whole Year,Onion,15356,28722
Tamil Nadu,ARIYALUR,2000,Whole Year,Dry chillies,1414,4833
Tamil Nadu,ARIYALUR,2000,Whole Year,Coriander,20196,48620
Tamil Nadu,ARIYALUR,2000,Whole Year,Castor seed,15732,19187
Tamil Nadu,ARIYALUR,2000,Summer,Rice,131721,530563
Tamil Nadu,ARIYALUR,2000,Summer,Groundnut,34998,64183
Tamil Nadu,ARIYALUR,2000,Summer,Sesamum,9935,30200
Tamil Nadu,ARIYALUR,2000,Summer,Sunflower,11642,25423
Tamil Nadu,ARIYALUR,2000,Summer,Black gram,2938,2056
Tamil Nadu,ARIYALUR,2001,Kharif,Rice,95739,258451
Tamil Nadu,ARIYALUR,2001,Kharif,Maize,17748,81577
Tamil Nadu,ARIYALUR,2001,Kharif,Groundnut,56988,105821
Tamil Nadu,ARIYALUR,2001,Kharif,Jowar,8411,22038
Tamil Nadu,ARIYALUR,2001,Kharif,Bajra,2964,9272
Tamil Nadu,ARIYALUR,2001,Kharif,Ragi,8725,29004
Tamil Nadu,ARIYALUR,2001,Kharif,Moong(Green Gram),20930,11473
Tamil Nadu,ARIYALUR,2001,Kharif,Urad,4767,2556
Tamil Nadu,ARIYALUR,2001,Kharif,Cotton(lint),7505,6599
Tamil Nadu,ARIYALUR,2001,Kharif,Sunflower,11437,11423
Tamil Nadu,ARIYALUR,2001,Rabi,Rice,27576,79485
Tamil Nadu,ARIYALUR,2001,Rabi,Gram,4626,3459
Tamil Nadu,ARIYALUR,2001,Rabi,Groundnut,28185,68846
Tamil Nadu,ARIYALUR,2001,Rabi,Maize,35431,90960
Tamil Nadu,ARIYALUR,2001,Rabi,Bajra,1507,2219
Tamil Nadu,ARIYALUR,2001,Rabi,Jowar,3521,4237
Tamil Nadu,ARIYALUR,2001,Rabi,Moong(Green Gram),23160,16896
Tamil Nadu,ARIYALUR,2001,Rabi,Urad,2104,1367
Tamil Nadu,ARIYALUR,2001,Rabi,Cotton(lint),14644,16590
Tamil Nadu,ARIYALUR,2001,Rabi,Ragi,9404,11954
Tamil Nadu,ARIYALUR,2001,Whole Year,Sugarcane,3040,247999
Tamil Nadu,ARIYALUR,2001,Whole Year,Banana,2105,93344
Tamil Nadu,ARIYALUR,2001,Whole Year,Tapioca,13009,26807
Tamil Nadu,ARIYALUR,2001,Whole Year,Coconut,10879,27807
Tamil Nadu,ARIYALUR,2001,Whole Year,Cashewnut,5741,9624
Tamil Nadu,ARIYALUR,2001,Whole Year,Turmeric,7055,23133
Tamil Nadu,ARIYALUR,2001,Whole Year,Onion,1970,1916
Tamil Nadu,ARIYALUR,2001,Whole Year,Dry chillies,3339,5142
Tamil Nadu,ARIYALUR,2001,Whole Year,Coriander,1688,3926
Tamil Nadu,ARIYALUR,2001,Whole Year,Castor seed,2650,4987
Tamil Nadu,ARIYALUR,2001,Summer,Rice,111490,356490
Tamil Nadu,ARIYALUR,2001,Summer,Groundnut,59514,118958
Tamil Nadu,ARIYALUR,2001,Summer,Sesamum,13719,15439
Tamil Nadu,ARIYALUR,2001,Summer,Sunflower,8527,11356
Tamil Nadu,ARIYALUR,2001,Summer,Black gram,5010,11408
Tamil Nadu,ARIYALUR,2002,Kharif,Rice,73728,126424
Tamil Nadu,ARIYALUR,2002,Kharif,Maize,45866,133172
Tamil Nadu,ARIYALUR,2002,Kharif,Groundnut,46841,72795
Tamil Nadu,ARIYALUR,2002,Kharif,Jowar,15480,41077
Tamil Nadu,ARIYALUR,2002,Kharif,Bajra,18883,14308
Tamil Nadu,ARIYALUR,2002,Kharif,Ragi,14407,10930
Tamil Nadu,ARIYALUR,2002,Kharif,Moong(Green Gram),6729,5385
Tamil Nadu,ARIYALUR,2002,Kharif,Urad,32370,18334
Tamil Nadu,ARIYALUR,2002,Kharif,Cotton(lint),15143,9418
Tamil Nadu,ARIYALUR,2002,Kharif,Sunflower,18952,25248
Tamil Nadu,ARIYALUR,2002,Rabi,Rice,21912,73503
Tamil Nadu,ARIYALUR,2002,Rabi,Gram,33438,23981
Tamil Nadu,ARIYALUR,2002,Rabi,Groundnut,12449,13417
Tamil Nadu,ARIYALUR,2002,Rabi,Maize,27657,131939
Tamil Nadu,ARIYALUR,2002,Rabi,Bajra,2226,4866
Tamil Nadu,ARIYALUR,2002,Rabi,Jowar,3223,3330
Tamil Nadu,ARIYALUR,2002,Rabi,Moong(Green Gram),25001,13676
Tamil Nadu,ARIYALUR,2002,Rabi,Urad,33735,23259
Tamil Nadu,ARIYALUR,2002,Rabi,Cotton(lint),6046,5010
Tamil Nadu,ARIYALUR,2002,Rabi,Ragi,17351,47427
Tamil Nadu,ARIYALUR,2002,Whole Year,Sugarcane,32688,1893564
Tamil Nadu,ARIYALUR,2002,Whole Year,Banana,9232,310766
Tamil Nadu,ARIYALUR,2002,Whole Year,Tapioca,20801,45728
Tamil Nadu,ARIYALUR,2002,Whole Year,Coconut,8533,13939
Tamil Nadu,ARIYALUR,2002,Whole Year,Cashewnut,14641,6485
Tamil Nadu,ARIYALUR,2002,Whole Year,Turmeric,18498,21146
Tamil Nadu,ARIYALUR,2002,Whole Year,Onion,3978,5157
Tamil Nadu,ARIYALUR,2002,Whole Year,Dry chillies,8194,19767
Tamil Nadu,ARIYALUR,2002,Whole Year,Coriander,560,901
Tamil Nadu,ARIYALUR,2002,Whole Year,Castor seed,7926,5814
Tamil Nadu,ARIYALUR,2002,Summer,Rice,17790,48943
Tamil Nadu,ARIYALUR,2002,Summer,Groundnut,14212,12158
Tamil Nadu,ARIYALUR,2002,Summer,Sesamum,14338,20311
Tamil Nadu,ARIYALUR,2002,Summer,Sunflower,11754,9229
Tamil Nadu,ARIYALUR,2002,Summer,Black gram,6960,6795
Tamil Nadu,ARIYALUR,2003,Kharif,Rice,24626,75395
Tamil Nadu,ARIYALUR,2003,Kharif,Maize,11029,38405
Tamil Nadu,ARIYALUR,2003,Kharif,Groundnut,11625,17267
Tamil Nadu,ARIYALUR,2003,Kharif,Jowar,13192,34289
Tamil Nadu,ARIYALUR,2003,Kharif,Bajra,3452,3807
Tamil Nadu,ARIYALUR,2003,Kharif,Ragi,4198,1920
Tamil Nadu,ARIYALUR,2003,Kharif,Moong(Green Gram),31121,22995
Tamil Nadu,ARIYALUR,2003,Kharif,Urad,21784,10479
Tamil Nadu,ARIYALUR,2003,Kharif,Cotton(lint),15467,9790
Tamil Nadu,ARIYALUR,2003,Kharif,Sunflower,17784,29238
Tamil Nadu,ARIYALUR,2003,Rabi,Rice,9860,22184
Tamil Nadu,ARIYALUR,2003,Rabi,Gram,5808,4908
Tamil Nadu,ARIYALUR,2003,Rabi,Groundnut,16678,17339
Tamil Nadu,ARIYALUR,2003,Rabi,Maize,16055,52990
Tamil Nadu,ARIYALUR,2003,Rabi,Bajra,504,425
Tamil Nadu,ARIYALUR,2003,Rabi,Jowar,12772,21765
Tamil Nadu,ARIYALUR,2003,Rabi,Moong(Green Gram),13276,7475
Tamil Nadu,ARIYALUR,2003,Rabi,Urad,3556,2101
Tamil Nadu,ARIYALUR,2003,Rabi,Cotton(lint),12158,12075
Tamil Nadu,ARIYALUR,2003,Rabi,Ragi,11457,27430
Tamil Nadu,ARIYALUR,2003,Whole Year,Sugarcane,13304,866610
Tamil Nadu,ARIYALUR,2003,Whole Year,Banana,4009,113743
Tamil Nadu,ARIYALUR,2003,Whole Year,Tapioca,8700,17709
Tamil Nadu,ARIYALUR,2003,Whole Year,Coconut,15446,27658
Tamil Nadu,ARIYALUR,2003,Whole Year,Cashewnut,2207,4821
Tamil Nadu,ARIYALUR,2003,Whole Year,Turmeric,3931,7470
Tamil Nadu,ARIYALUR,2003,Whole Year,Onion,11503,24539
Tamil Nadu,ARIYALUR,2003,Whole Year,Dry chillies,3742,11321
Tamil Nadu,ARIYALUR,2003,Whole Year,Coriander,19532,15197
Tamil Nadu,ARIYALUR,2003,Whole Year,Castor seed,15011,19955
Tamil Nadu,ARIYALUR,2003,Summer,Rice,70380,275355
Tamil Nadu,ARIYALUR,2003,Summer,Groundnut,4183,5741
Tamil Nadu,ARIYALUR,2003,Summer,Sesamum,11419,13862
Tamil Nadu,ARIYALUR,2003,Summer,Sunflower,10617,23616
Tamil Nadu,ARIYALUR,2003,Summer,Black gram,12936,9771
Tamil Nadu,ARIYALUR,2004,Kharif,Rice,149374,588331
Tamil Nadu,ARIYALUR,2004,Kharif,Maize,53899,189079
Tamil Nadu,ARIYALUR,2004,Kharif,Groundnut,34801,84128
Tamil Nadu,ARIYALUR,2004,Kharif,Jowar,14122,26798
Tamil Nadu,ARIYALUR,2004,Kharif,Bajra,4464,3934
Tamil Nadu,ARIYALUR,2004,Kharif,Ragi,4944,5707
Tamil Nadu,ARIYALUR,2004,Kharif,Moong(Green Gram),35762,27497
Tamil Nadu,ARIYALUR,2004,Kharif,Urad,9418,10027
Tamil Nadu,ARIYALUR,2004,Kharif,Cotton(lint),15616,25300
Tamil Nadu,ARIYALUR,2004,Kharif,Sunflower,13307,13656
Tamil Nadu,ARIYALUR,2004,Rabi,Rice,146350,586033
Tamil Nadu,ARIYALUR,2004,Rabi,Gram,8365,4243
Tamil Nadu,ARIYALUR,2004,Rabi,Groundnut,42739,82287
Tamil Nadu,ARIYALUR,2004,Rabi,Maize,50917,293901
Tamil Nadu,ARIYALUR,2004,Rabi,Bajra,8026,20909
Tamil Nadu,ARIYALUR,2004,Rabi,Jowar,14072,17733
Tamil Nadu,ARIYALUR,2004,Rabi,Moong(Green Gram),19733,18338
Tamil Nadu,ARIYALUR,2004,Rabi,Urad,11634,6393
Tamil Nadu,ARIYALUR,2004,Rabi,Cotton(lint),28377,43954
Tamil Nadu,ARIYALUR,2004,Rabi,Ragi,1788,3037
Tamil Nadu,ARIYALUR,2004,Whole Year,Sugarcane,28276,2464202
Tamil Nadu,ARIYALUR,2004,Whole Year,Banana,9659,255933
Tamil Nadu,ARIYALUR,2004,Whole Year,Tapioca,10031,22544
Tamil Nadu,ARIYALUR,2004,Whole Year,Coconut,11899,28680
Tamil Nadu,ARIYALUR,2004,Whole Year,Cashewnut,16580,44664
Tamil Nadu,ARIYALUR,2004,Whole Year,Turmeric,14146,44368
Tamil Nadu,ARIYALUR,2004,Whole Year,Onion,10497,31437
Tamil Nadu,ARIYALUR,2004,Whole Year,Dry chillies,17980,11399
Tamil Nadu,ARIYALUR,2004,Whole Year,Coriander,5793,16982
Tamil Nadu,ARIYALUR,2004,Whole Year,Castor seed,13328,26435
Tamil Nadu,ARIYALUR,2004,Summer,Rice,98687,446876
Tamil Nadu,ARIYALUR,2004,Summer,Groundnut,43944,83570
Tamil Nadu,ARIYALUR,2004,Summer,Sesamum,16319,34287
Tamil Nadu,ARIYALUR,2004,Summer,Sunflower,10528,37813
Tamil Nadu,ARIYALUR,2004,Summer,Black gram,12201,10126
Tamil Nadu,ARIYALUR,2005,Kharif,Rice,15195,59744
Tamil Nadu,ARIYALUR,2005,Kharif,Maize,3974,25741
Tamil Nadu,ARIYALUR,2005,Kharif,Groundnut,51158,65188
Tamil Nadu,ARIYALUR,2005,Kharif,Jowar,657,1065
Tamil Nadu,ARIYALUR,2005,Kharif,Bajra,12016,25009
Tamil Nadu,ARIYALUR,2005,Kharif,Ragi,7313,14784
Tamil Nadu,ARIYALUR,2005,Kharif,Moong(Green Gram),22921,13694
Tamil Nadu,ARIYALUR,2005,Kharif,Urad,28109,16175
Tamil Nadu,ARIYALUR,2005,Kharif,Cotton(lint),13878,24547
Tamil Nadu,ARIYALUR,2005,Kharif,Sunflower,8710,11932
Tamil Nadu,ARIYALUR,2005,Rabi,Rice,123177,338104
Tamil Nadu,ARIYALUR,2005,Rabi,Gram,27350,18902
Tamil Nadu,ARIYALUR,2005,Rabi,Groundnut,67292,106297
Tamil Nadu,ARIYALUR,2005,Rabi,Maize,41873,249060
Tamil Nadu,ARIYALUR,2005,Rabi,Bajra,3016,2143
Tamil Nadu,ARIYALUR,2005,Rabi,Jowar,13265,24497
Tamil Nadu,ARIYALUR,2005,Rabi,Moong(Green Gram),23578,17518
Tamil Nadu,ARIYALUR,2005,Rabi,Urad,2785,2554
Tamil Nadu,ARIYALUR,2005,Rabi,Cotton(lint),9014,8551
Tamil Nadu,ARIYALUR,2005,Rabi,Ragi,7737,14769
Tamil Nadu,ARIYALUR,2005,Whole Year,Sugarcane,33785,3334455
Tamil Nadu,ARIYALUR,2005,Whole Year,Banana,5841,173689
Tamil Nadu,ARIYALUR,2005,Whole Year,Tapioca,2988,6363
Tamil Nadu,ARIYALUR,2005,Whole Year,Coconut,10051,6338
Tamil Nadu,ARIYALUR,2005,Whole Year,Cashewnut,1613,2388
Tamil Nadu,ARIYALUR,2005,Whole Year,Turmeric,7747,7919
Tamil Nadu,ARIYALUR,2005,Whole Year,Onion,13558,14739
Tamil Nadu,ARIYALUR,2005,Whole Year,Dry chillies,10334,29761
Tamil Nadu,ARIYALUR,2005,Whole Year,Coriander,1287,3000
Tamil Nadu,ARIYALUR,2005,Whole Year,Castor seed,12812,39835
Tamil Nadu,ARIYALUR,2005,Summer,Rice,18020,87349
Tamil Nadu,ARIYALUR,2005,Summer,Groundnut,29874,69696
Tamil Nadu,ARIYALUR,2005,Summer,Sesamum,1627,1175
Tamil Nadu,ARIYALUR,2005,Summer,Sunflower,18716,22373
Tamil Nadu,ARIYALUR,2005,Summer,Black gram,3791,10953
Tamil Nadu,ARIYALUR,2006,Kharif,Rice,79071,361080
Tamil Nadu,ARIYALUR,2006,Kharif,Maize,44375,226492
Tamil Nadu,ARIYALUR,2006,Kharif,Groundnut,6335,7854
Tamil Nadu,ARIYALUR,2006,Kharif,Jowar,17501,46700
Tamil Nadu,ARIYALUR,2006,Kharif,Bajra,7623,11601
Tamil Nadu,ARIYALUR,2006,Kharif,Ragi,15990,38069
Tamil Nadu,ARIYALUR,2006,Kharif,Moong(Green Gram),20803,22499
Tamil Nadu,ARIYALUR,2006,Kharif,Urad,12173,10022
Tamil Nadu,ARIYALUR,2006,Kharif,Cotton(lint),21333,25377
Tamil Nadu,ARIYALUR,2006,Kharif,Sunflower,12196,37397
Tamil Nadu,ARIYALUR,2006,Rabi,Rice,161398,469950
Tamil Nadu,ARIYALUR,2006,Rabi,Gram,9582,10539
Tamil Nadu,ARIYALUR,2006,Rabi,Groundnut,21626,45456
Tamil Nadu,ARIYALUR,2006,Rabi,Maize,50790,154964
Tamil Nadu,ARIYALUR,2006,Rabi,Bajra,16611,16121
Tamil Nadu,ARIYALUR,2006,Rabi,Jowar,4160,3396
Tamil Nadu,ARIYALUR,2006,Rabi,Moong(Green Gram),12781,12905
Tamil Nadu,ARIYALUR,2006,Rabi,Urad,21047,18968
Tamil Nadu,ARIYALUR,2006,Rabi,Cotton(lint),2466,3511
Tamil Nadu,ARIYALUR,2006,Rabi,Ragi,16273,51304
Tamil Nadu,ARIYALUR,2006,Whole Year,Sugarcane,10232,699761
Tamil Nadu,ARIYALUR,2006,Whole Year,Banana,5975,241551
Tamil Nadu,ARIYALUR,2006,Whole Year,Tapioca,8140,26968
Tamil Nadu,ARIYALUR,2006,Whole Year,Coconut,1168,1315
Tamil Nadu,ARIYALUR,2006,Whole Year,Cashewnut,356,1284
Tamil Nadu,ARIYALUR,2006,Whole Year,Turmeric,8634,18694
Tamil Nadu,ARIYALUR,2006,Whole Year,Onion,2670,1909
Tamil Nadu,ARIYALUR,2006,Whole Year,Dry chillies,4546,10663
Tamil Nadu,ARIYALUR,2006,Whole Year,Coriander,14095,24878
Tamil Nadu,ARIYALUR,2006,Whole Year,Castor seed,14806,46515
Tamil Nadu,ARIYALUR,2006,Summer,Rice,86320,343245
Tamil Nadu,ARIYALUR,2006,Summer,Groundnut,4569,12722
Tamil Nadu,ARIYALUR,2006,Summer,Sesamum,4105,10618
Tamil Nadu,ARIYALUR,2006,Summer,Sunflower,2555,5828
Tamil Nadu,ARIYALUR,2006,Summer,Black gram,20366,38300
Tamil Nadu,ARIYALUR,2007,Kharif,Rice,97724,402422
Tamil Nadu,ARIYALUR,2007,Kharif,Maize,18781,98913
Tamil Nadu,ARIYALUR,2007,Kharif,Groundnut,55171,96706
Tamil Nadu,ARIYALUR,2007,Kharif,Jowar,9780,5870
Tamil Nadu,ARIYALUR,2007,Kharif,Bajra,7326,18974
Tamil Nadu,ARIYALUR,2007,Kharif,Ragi,4265,6563
Tamil Nadu,ARIYALUR,2007,Kharif,Moong(Green Gram),23697,21985
Tamil Nadu,ARIYALUR,2007,Kharif,Urad,14713,15980
Tamil Nadu,ARIYALUR,2007,Kharif,Cotton(lint),1947,1674
Tamil Nadu,ARIYALUR,2007,Kharif,Sunflower,11339,25640
Tamil Nadu,ARIYALUR,2007,Rabi,Rice,139941,525010
Tamil Nadu,ARIYALUR,2007,Rabi,Gram,8191,3591
Tamil Nadu,ARIYALUR,2007,Rabi,Groundnut,14852,43314
Tamil Nadu,ARIYALUR,2007,Rabi,Maize,18314,42798
Tamil Nadu,ARIYALUR,2007,Rabi,Bajra,6022,9050
Tamil Nadu,ARIYALUR,2007,Rabi,Jowar,6399,14476
Tamil Nadu,ARIYALUR,2007,Rabi,Moong(Green Gram),14356,7401
Tamil Nadu,ARIYALUR,2007,Rabi,Urad,7774,5874
Tamil Nadu,ARIYALUR,2007,Rabi,Cotton(lint),20807,15744
Tamil Nadu,ARIYALUR,2007,Rabi,Ragi,13084,29493
Tamil Nadu,ARIYALUR,2007,Whole Year,Sugarcane,45743,4781594
Tamil Nadu,ARIYALUR,2007,Whole Year,Banana,3444,98914
Tamil Nadu,ARIYALUR,2007,Whole Year,Tapioca,15093,45900
Tamil Nadu,ARIYALUR,2007,Whole Year,Coconut,16111,22163
Tamil Nadu,ARIYALUR,2007,Whole Year,Cashewnut,13068,11351
Tamil Nadu,ARIYALUR,2007,Whole Year,Turmeric,11891,13866
Tamil Nadu,ARIYALUR,2007,Whole Year,Onion,3651,3295
Tamil Nadu,ARIYALUR,2007,Whole Year,Dry chillies,10558,22570
Tamil Nadu,ARIYALUR,2007,Whole Year,Coriander,12894,24399
