District_Name,Crop_Year,Season,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall_Precipitation,Relative_Humidity,Solar_Radiation,Wind_Speed,Soil_Moisture
COIMBATORE,2000,Whole Year,29.5,22.5,36.5,720.61,64.0,19.91,10.28,22.0
COIMBATORE,2000,Summer,30.6,24.0,37.19,33.56,48.99,24.24,11.35,9.96
COIMBATORE,2001,Kharif,28.62,22.77,34.47,339.31,68.03,21.98,16.84,26.73
COIMBATORE,2001,Rabi,25.43,19.01,31.86,396.15,70.41,15.42,10.93,28.1
COIMBATORE,2001,Whole Year,29.5,22.5,36.5,647.48,64.0,19.98,12.5,22.0
COIMBATORE,2001,Summer,32.35,25.58,39.13,54.51,40.25,23.81,8.05,9.95
COIMBATORE,2002,Kharif,29.66,23.41,35.92,198.74,59.91,21.41,15.04,14.91
COIMBATORE,2002,Rabi,26.73,19.22,34.25,175.75,65.24,16.15,12.47,16.27
COIMBATORE,2002,Whole Year,30.4,22.5,38.3,456.23,56.0,19.88,9.86,14.3
COIMBATORE,2002,Summer,34.87,25.98,43.77,19.47,33.52,25.7,8.18,7.5
COIMBATORE,2003,Kharif,29.94,22.33,37.56,159.31,65.24,19.71,11.7,12.99
COIMBATORE,2003,Rabi,25.89,19.9,31.89,267.93,64.04,16.48,12.81,18.96
COIMBATORE,2003,Whole Year,30.4,22.5,38.3,414.72,56.0,20.66,12.4,14.3
COIMBATORE,2003,Summer,32.81,24.62,41.0,45.37,33.38,25.82,8.34,6.82
COIMBATORE,2004,Kharif,30.01,23.72,36.31,212.08,61.03,22.63,11.0,19.77
COIMBATORE,2004,Rabi,25.1,19.27,30.93,455.15,72.78,16.49,8.81,30.08
COIMBATORE,2004,Whole Year,29.5,22.5,36.5,795.37,64.0,19.68,12.64,22.0
COIMBATORE,2004,Summer,32.47,25.79,39.14,34.85,41.24,24.3,11.61,12.66
COIMBATORE,2005,Kharif,29.38,22.99,35.78,337.07,59.23,20.61,16.21,22.29
COIMBATORE,2005,Rabi,25.96,21.86,30.05,433.97,70.98,15.7,9.74,22.9
COIMBATORE,2005,Whole Year,29.5,22.5,36.5,591.35,64.0,21.62,10.51,22.0
COIMBATORE,2005,Summer,32.99,24.84,41.15,84.84,43.67,26.28,9.12,14.01
COIMBATORE,2006,Kharif,27.67,22.12,33.21,256.46,70.1,19.58,10.14,25.8
COIMBATORE,2006,Rabi,26.23,21.51,30.96,462.21,71.09,18.58,10.54,30.08
COIMBATORE,2006,Whole Year,29.5,22.5,36.5,828.53,64.0,20.25,13.61,22.0
COIMBATORE,2006,Summer,31.79,24.73,38.85,53.96,53.05,25.63,8.46,10.58
COIMBATORE,2007,Kharif,28.53,22.57,34.48,290.45,65.32,20.52,11.78,26.49
COIMBATORE,2007,Rabi,25.44,20.17,30.7,264.07,74.35,16.87,13.59,24.03
COIMBATORE,2007,Whole Year,29.5,22.5,36.5,829.9,64.0,21.3,11.38,22.0
COIMBATORE,2007,Summer,32.71,24.25,41.17,66.66,52.48,22.72,9.96,10.42
COIMBATORE,2008,Kharif,29.07,22.9,35.24,303.05,67.55,19.9,11.68,23.26
COIMBATORE,2008,Rabi,25.67,20.51,30.83,254.3,71.06,17.2,11.21,23.18
COIMBATORE,2008,Whole Year,29.5,22.5,36.5,750.54,64.0,20.27,12.27,22.0
COIMBATORE,2008,Summer,31.04,24.22,37.85,41.29,43.85,26.27,9.43,9.92
COIMBATORE,2009,Kharif,28.5,22.13,34.88,281.21,67.1,19.26,16.28,24.34
COIMBATORE,2009,Rabi,24.87,19.14,30.61,391.7,74.17,18.58,8.18,28.7
COIMBATORE,2009,Whole Year,29.5,22.5,36.5,755.44,64.0,20.82,13.38,22.0
COIMBATORE,2009,Summer,32.56,24.82,40.3,61.91,52.96,22.51,8.69,13.26
COIMBATORE,2010,Kharif,30.02,23.95,36.09,307.68,72.39,19.01,11.41,27.05
COIMBATORE,2010,Rabi,24.97,19.24,30.71,329.76,82.82,16.76,11.73,37.24
COIMBATORE,2010,Whole Year,29.5,22.5,36.5,1031.72,69.0,21.39,11.4,27.5
COIMBATORE,2010,Summer,33.2,24.63,41.78,102.42,49.81,22.38,11.9,12.86
COIMBATORE,2011,Kharif,28.42,23.28,33.56,299.51,75.94,18.64,11.52,25.26
COIMBATORE,2011,Rabi,26.49,20.89,32.08,516.98,81.25,17.91,8.02,35.03
COIMBATORE,2011,Whole Year,29.5,22.5,36.5,1005.1,69.0,19.19,11.14,27.5
COIMBATORE,2011,Summer,31.49,25.84,37.14,66.47,58.82,22.43,7.42,12.03
COIMBATORE,2012,Kharif,29.67,23.9,35.45,232.46,71.94,22.42,15.53,19.27
COIMBATORE,2012,Rabi,25.29,19.33,31.26,285.74,76.79,16.39,11.04,28.54
COIMBATORE,2012,Whole Year,29.5,22.5,36.5,605.12,64.0,19.51,13.84,22.0
COIMBATORE,2012,Summer,30.98,24.57,37.39,56.94,51.18,25.89,9.24,14.13
COIMBATORE,2013,Kharif,29.49,22.06,36.92,225.38,73.17,19.35,12.88,19.25
COIMBATORE,2013,Rabi,26.0,20.06,31.93,429.9,78.46,16.71,10.44,27.62
COIMBATORE,2013,Whole Year,29.5,22.5,36.5,768.21,64.0,20.34,13.6,22.0
COIMBATORE,2013,Summer,33.22,25.9,40.54,31.65,46.57,25.83,8.65,14.74
CUDDALORE,1997,Kharif,30.95,24.6,37.31,476.12,73.91,22.5,11.0,30.41
CUDDALORE,1997,Rabi,26.15,20.71,31.59,540.23,82.46,15.77,9.4,38.11
CUDDALORE,1997,Whole Year,31.0,24.0,38.0,1018.72,75.0,19.71,13.64,28.0
CUDDALORE,1997,Summer,34.35,26.86,41.84,79.35,54.81,22.82,10.39,18.81
CUDDALORE,1998,Kharif,30.55,25.3,35.81,539.1,73.38,18.3,10.44,26.88
CUDDALORE,1998,Rabi,27.16,22.02,32.31,451.9,88.31,18.07,9.87,31.86
CUDDALORE,1998,Whole Year,31.0,24.0,38.0,1247.26,75.0,21.85,13.87,28.0
CUDDALORE,1998,Summer,33.45,25.62,41.27,56.28,50.46,25.34,10.56,17.9
CUDDALORE,1999,Kharif,30.57,24.3,36.83,385.06,72.26,20.19,14.14,33.63
CUDDALORE,1999,Rabi,28.22,22.3,34.15,464.82,89.45,15.16,11.15,31.6
CUDDALORE,1999,Whole Year,31.0,24.0,38.0,963.65,75.0,19.24,12.41,28.0
CUDDALORE,1999,Summer,34.95,26.71,43.19,97.01,58.36,24.82,7.33,16.15
CUDDALORE,2000,Kharif,29.55,24.17,34.92,465.97,77.11,20.4,15.79,28.84
CUDDALORE,2000,Rabi,27.6,22.8,32.39,613.29,80.71,18.36,11.49,36.14
CUDDALORE,2000,Whole Year,31.0,24.0,38.0,984.35,75.0,19.67,13.02,28.0
CUDDALORE,2000,Summer,32.9,27.3,38.5,53.92,59.73,22.92,11.56,11.43
CUDDALORE,2001,Kharif,30.02,23.89,36.14,504.7,81.94,18.61,15.33,28.04
CUDDALORE,2001,Rabi,27.55,21.04,34.05,419.5,84.79,17.38,11.26,30.82
CUDDALORE,2001,Whole Year,31.0,24.0,38.0,954.45,75.0,21.57,9.16,28.0
CUDDALORE,2001,Summer,32.91,26.98,38.84,62.56,54.71,24.4,9.7,17.34
CUDDALORE,2002,Kharif,30.41,23.88,36.94,192.73,66.52,22.14,14.33,16.51
CUDDALORE,2002,Rabi,29.5,23.01,35.99,289.36,74.55,17.77,13.16,21.42
CUDDALORE,2002,Whole Year,31.9,24.0,39.8,703.37,67.0,20.29,12.46,18.2
CUDDALORE,2002,Summer,35.51,26.35,44.67,34.78,45.44,25.08,11.19,10.6
CUDDALORE,2003,Kharif,30.54,24.58,36.5,303.36,75.65,20.25,11.78,20.18
CUDDALORE,2003,Rabi,28.28,23.13,33.42,273.09,78.8,18.26,8.94,25.09
CUDDALORE,2003,Whole Year,31.9,24.0,39.8,643.12,67.0,21.78,9.75,18.2
CUDDALORE,2003,Summer,34.23,26.58,41.88,40.02,43.04,25.82,10.97,8.84
CUDDALORE,2004,Kharif,30.18,24.82,35.54,493.96,75.89,22.89,12.91,25.7
CUDDALORE,2004,Rabi,27.28,20.71,33.85,558.57,88.58,18.8,13.17,38.13
CUDDALORE,2004,Whole Year,31.0,24.0,38.0,953.92,75.0,20.53,12.98,28.0
CUDDALORE,2004,Summer,33.9,26.45,41.35,118.22,60.57,24.43,9.82,14.22
CUDDALORE,2005,Kharif,31.17,24.76,37.58,528.24,79.51,20.44,16.0,34.98
CUDDALORE,2005,Rabi,28.35,23.25,33.45,548.99,86.1,15.09,13.73,28.96
CUDDALORE,2005,Whole Year,31.0,24.0,38.0,969.14,75.0,19.89,12.67,28.0
CUDDALORE,2005,Summer,32.01,26.16,37.87,40.29,60.22,25.17,11.65,13.85
CUDDALORE,2006,Kharif,30.22,24.45,35.99,439.49,79.42,20.59,13.11,33.65
CUDDALORE,2006,Rabi,27.79,21.09,34.5,498.4,80.39,17.61,12.7,38.49
CUDDALORE,2006,Whole Year,31.0,24.0,38.0,844.35,75.0,21.64,11.58,28.0
CUDDALORE,2006,Summer,32.79,26.75,38.83,107.26,59.54,24.72,9.56,13.41
CUDDALORE,2007,Kharif,29.81,23.92,35.69,492.4,76.14,18.15,16.14,33.87
CUDDALORE,2007,Rabi,28.2,23.14,33.26,378.12,88.3,18.95,10.97,31.51
CUDDALORE,2007,Whole Year,31.0,24.0,38.0,1195.21,75.0,20.56,11.25,28.0
CUDDALORE,2007,Summer,34.12,27.04,41.2,86.32,61.06,22.95,9.19,14.99
CUDDALORE,2008,Kharif,30.42,25.24,35.6,334.41,83.52,18.37,17.03,29.71
CUDDALORE,2008,Rabi,27.89,21.5,34.27,481.71,87.03,17.69,13.93,28.52
CUDDALORE,2008,Whole Year,31.0,24.0,38.0,1031.28,75.0,21.97,10.64,28.0
CUDDALORE,2008,Summer,33.98,25.57,42.4,59.4,64.56,23.26,7.62,14.8
CUDDALORE,2009,Kharif,30.09,23.62,36.55,406.77,73.24,21.11,13.64,32.45
CUDDALORE,2009,Rabi,28.06,21.95,34.16,629.05,81.45,15.54,8.15,32.13
CUDDALORE,2009,Whole Year,31.0,24.0,38.0,862.94,75.0,20.35,10.21,28.0
CUDDALORE,2009,Summer,32.48,26.5,38.45,80.56,50.5,24.87,9.82,17.82
CUDDALORE,2010,Kharif,30.56,25.49,35.63,705.53,86.74,18.45,12.61,35.91
CUDDALORE,2010,Rabi,26.98,20.7,33.26,494.06,90.09,16.16,10.03,36.6
CUDDALORE,2010,Whole Year,31.0,24.0,38.0,1342.48,80.0,21.01,12.8,35.0
CUDDALORE,2010,Summer,33.79,26.11,41.46,146.66,65.01,22.97,7.45,15.74
CUDDALORE,2011,Kharif,31.68,25.2,38.15,441.34,76.41,20.0,11.36,31.58
CUDDALORE,2011,Rabi,28.34,22.41,34.26,472.6,87.08,18.3,9.47,41.18
CUDDALORE,2011,Whole Year,31.0,24.0,38.0,1145.8,80.0,21.39,12.68,35.0
CUDDALORE,2011,Summer,35.22,27.24,43.19,110.16,58.03,25.44,9.6,21.85
CUDDALORE,2012,Kharif,29.8,25.02,34.59,380.2,72.29,22.91,17.39,25.41
CUDDALORE,2012,Rabi,27.75,22.47,33.03,493.47,87.0,17.01,11.39,35.59
CUDDALORE,2012,Whole Year,31.0,24.0,38.0,849.94,75.0,19.04,9.89,28.0
CUDDALORE,2012,Summer,32.5,26.06,38.94,117.95,63.82,24.61,7.13,19.37
CUDDALORE,2013,Kharif,30.96,25.07,36.85,534.17,70.46,20.56,14.21,27.74
CUDDALORE,2013,Rabi,27.33,21.54,33.13,440.7,87.05,16.86,10.82,38.66
CUDDALORE,2013,Whole Year,31.0,24.0,38.0,1064.71,75.0,21.35,13.34,28.0
CUDDALORE,2013,Summer,34.28,26.34,42.22,56.4,62.27,25.13,11.63,11.56
DHARMAPURI,1997,Kharif,28.79,23.47,34.11,358.86,75.16,20.03,12.41,23.12
DHARMAPURI,1997,Rabi,26.39,20.07,32.71,348.64,75.48,15.97,11.23,32.52
DHARMAPURI,1997,Whole Year,30.5,23.5,37.5,1096.99,70.0,21.5,12.06,25.0
DHARMAPURI,1997,Summer,32.9,25.67,40.13,60.46,48.23,22.8,8.67,17.34
DHARMAPURI,1998,Kharif,29.93,23.86,35.99,445.45,76.43,19.63,15.01,23.1
DHARMAPURI,1998,Rabi,28.41,22.84,33.97,537.01,84.31,18.33,10.57,33.61
DHARMAPURI,1998,Whole Year,30.5,23.5,37.5,1025.51,70.0,19.77,12.12,25.0
DHARMAPURI,1998,Summer,32.4,26.39,38.4,29.3,51.85,23.77,7.44,15.39
DHARMAPURI,1999,Kharif,29.25,23.55,34.94,468.66,76.67,22.03,10.03,31.03
DHARMAPURI,1999,Rabi,26.28,20.03,32.52,613.61,81.12,15.54,12.89,30.58
DHARMAPURI,1999,Whole Year,30.5,23.5,37.5,861.96,70.0,19.71,11.59,25.0
DHARMAPURI,1999,Summer,33.94,25.62,42.26,74.95,53.77,24.84,9.48,14.89
DHARMAPURI,2000,Kharif,30.85,23.78,37.91,394.99,75.37,22.46,17.3,22.66
DHARMAPURI,2000,Rabi,27.73,21.64,33.83,605.8,76.9,16.77,9.67,32.91
DHARMAPURI,2000,Whole Year,30.5,23.5,37.5,1049.6,70.0,20.41,12.38,25.0
DHARMAPURI,2000,Summer,33.26,25.26,41.26,35.9,49.32,22.72,10.27,12.5
DHARMAPURI,2001,Kharif,29.9,24.89,34.91,361.02,79.91,19.28,17.83,24.89
DHARMAPURI,2001,Rabi,26.99,20.12,33.87,353.29,83.29,17.07,12.12,32.76
DHARMAPURI,2001,Whole Year,30.5,23.5,37.5,781.83,70.0,21.4,10.51,25.0
DHARMAPURI,2001,Summer,32.99,25.54,40.44,82.55,50.66,25.65,11.47,13.37
DHARMAPURI,2002,Kharif,30.49,24.22,36.77,262.38,71.51,18.98,13.66,18.82
DHARMAPURI,2002,Rabi,28.17,21.09,35.25,188.47,76.11,15.25,10.67,18.04
DHARMAPURI,2002,Whole Year,31.4,23.5,39.3,646.55,62.0,19.83,10.87,16.25
DHARMAPURI,2002,Summer,33.62,25.22,42.02,60.85,42.09,22.36,9.17,7.36
DHARMAPURI,2003,Kharif,31.08,24.87,37.3,274.91,58.77,18.03,17.48,17.26
DHARMAPURI,2003,Rabi,28.45,21.32,35.59,315.34,75.27,18.08,11.67,20.72
DHARMAPURI,2003,Whole Year,31.4,23.5,39.3,565.4,62.0,20.07,10.43,16.25
DHARMAPURI,2003,Summer,33.79,26.65,40.92,43.82,43.19,25.08,11.4,9.68
DHARMAPURI,2004,Kharif,29.38,24.66,34.1,301.07,78.62,20.84,16.79,23.59
DHARMAPURI,2004,Rabi,27.03,20.87,33.2,559.36,80.36,18.17,13.61,34.57
DHARMAPURI,2004,Whole Year,30.5,23.5,37.5,782.16,70.0,20.87,9.57,25.0
DHARMAPURI,2004,Summer,33.94,25.15,42.73,66.2,45.6,25.45,10.48,14.36
DHARMAPURI,2005,Kharif,31.02,24.19,37.86,301.11,77.04,19.84,16.03,22.89
DHARMAPURI,2005,Rabi,27.86,21.88,33.84,481.39,79.91,18.01,10.5,29.93
DHARMAPURI,2005,Whole Year,30.5,23.5,37.5,942.3,70.0,21.97,13.03,25.0
DHARMAPURI,2005,Summer,34.31,26.92,41.7,66.5,56.54,25.84,8.35,12.4
DHARMAPURI,2006,Kharif,31.39,24.87,37.91,433.22,67.22,20.45,12.69,21.57
DHARMAPURI,2006,Rabi,26.87,20.22,33.52,614.2,77.43,17.8,8.71,29.31
DHARMAPURI,2006,Whole Year,30.5,23.5,37.5,1047.6,70.0,19.02,11.4,25.0
DHARMAPURI,2006,Summer,33.64,26.13,41.15,43.09,57.4,24.93,10.21,15.64
DHARMAPURI,2007,Kharif,29.29,24.51,34.07,451.45,68.1,20.09,13.75,23.12
DHARMAPURI,2007,Rabi,27.59,21.44,33.74,393.0,80.2,16.23,13.88,27.21
DHARMAPURI,2007,Whole Year,30.5,23.5,37.5,776.23,70.0,19.43,10.84,25.0
DHARMAPURI,2007,Summer,33.45,25.89,41.01,71.75,46.42,23.62,10.56,12.01
DHARMAPURI,2008,Kharif,30.67,23.64,37.7,473.63,75.95,22.71,15.44,30.88
DHARMAPURI,2008,Rabi,25.81,20.31,31.32,455.68,78.47,15.11,10.8,26.48
DHARMAPURI,2008,Whole Year,30.5,23.5,37.5,749.41,70.0,20.34,10.16,25.0
DHARMAPURI,2008,Summer,33.5,25.13,41.88,106.53,46.78,25.28,9.99,10.49
DHARMAPURI,2009,Kharif,30.66,24.47,36.84,346.18,69.88,18.52,10.56,23.35
DHARMAPURI,2009,Rabi,26.74,20.5,32.99,414.51,75.61,15.75,10.7,26.53
DHARMAPURI,2009,Whole Year,30.5,23.5,37.5,1016.64,70.0,21.37,9.68,25.0
DHARMAPURI,2009,Summer,32.81,25.55,40.07,107.08,48.19,24.63,10.02,11.34
DHARMAPURI,2010,Kharif,29.72,23.21,36.24,499.67,78.63,19.38,16.5,37.34
DHARMAPURI,2010,Rabi,27.23,22.14,32.33,473.85,82.39,16.34,13.41,39.08
DHARMAPURI,2010,Whole Year,30.5,23.5,37.5,1238.07,75.0,21.84,12.96,31.25
DHARMAPURI,2010,Summer,32.36,26.97,37.75,57.15,60.44,25.75,10.85,13.86
DHARMAPURI,2011,Kharif,29.18,23.93,34.44,384.5,73.63,22.53,12.93,38.01
DHARMAPURI,2011,Rabi,27.0,20.75,33.25,724.74,80.96,18.26,9.52,43.55
DHARMAPURI,2011,Whole Year,30.5,23.5,37.5,1362.58,75.0,21.99,13.69,31.25
DHARMAPURI,2011,Summer,34.47,26.28,42.65,66.62,55.11,25.68,8.91,14.41
DHARMAPURI,2012,Kharif,28.81,23.21,34.41,338.19,73.11,22.02,16.95,26.37
DHARMAPURI,2012,Rabi,27.42,21.28,33.56,453.48,80.59,15.07,13.71,30.67
DHARMAPURI,2012,Whole Year,30.5,23.5,37.5,1003.75,70.0,19.74,12.28,25.0
DHARMAPURI,2012,Summer,31.88,26.08,37.67,95.4,47.41,22.29,8.95,12.11
DHARMAPURI,2013,Kharif,29.96,23.97,35.96,402.54,68.71,19.11,15.79,31.01
DHARMAPURI,2013,Rabi,26.77,20.16,33.38,329.98,77.38,17.76,9.77,28.94
DHARMAPURI,2013,Whole Year,30.5,23.5,37.5,1086.96,70.0,19.26,13.31,25.0
DHARMAPURI,2013,Summer,32.96,26.9,39.03,71.13,54.65,26.31,9.52,15.5
DINDIGUL,1997,Kharif,25.47,18.6,32.34,584.81,79.99,22.32,15.23,35.98
DINDIGUL,1997,Rabi,22.11,17.48,26.74,680.47,85.66,16.96,10.94,35.0
DINDIGUL,1997,Whole Year,25.5,18.5,32.5,1231.92,78.0,20.69,9.65,32.0
DINDIGUL,1997,Summer,27.72,21.24,34.19,93.55,56.76,22.08,7.66,15.7
DINDIGUL,1998,Kharif,24.65,18.38,30.92,483.14,79.14,20.08,17.82,38.7
DINDIGUL,1998,Rabi,21.4,15.82,26.97,610.32,89.89,16.58,11.15,33.87
DINDIGUL,1998,Whole Year,25.5,18.5,32.5,1004.92,78.0,19.5,12.78,32.0
DINDIGUL,1998,Summer,29.58,21.62,37.55,71.26,65.46,25.71,9.28,16.53
DINDIGUL,1999,Kharif,24.83,19.34,30.32,527.07,81.11,20.34,13.58,29.02
DINDIGUL,1999,Rabi,22.15,15.52,28.78,726.65,87.51,18.89,11.71,41.91
DINDIGUL,1999,Whole Year,25.5,18.5,32.5,1315.79,78.0,21.12,12.21,32.0
DINDIGUL,1999,Summer,27.67,21.58,33.77,130.95,65.3,22.68,8.42,16.28
DINDIGUL,2000,Kharif,25.16,18.89,31.42,563.71,74.1,19.04,14.04,30.41
DINDIGUL,2000,Rabi,21.65,15.38,27.92,600.86,83.0,18.43,10.77,38.8
